Filename852-delno	Pade v menu	CategoryTag	Tag1	Področje	Tag3	Podlaga	Tehnika	Tag6	Tag7	Tag8	Tag9
obdelava op v postopkih javne draºbe_(EM)_PetraLK,15.11.2018.odt	IP RS | Mnenja IP	Mnenje IP									
obdelava OP v pravdnih postopkih in τirτa pravica do varstva zasebnosti_(M)_Zrimτek.odt	IP RS | Mnenja IP	Mnenje IP									
obdelava OP v zvezi s kliniƒnim preizkuτanjem zdravil.odt	IP RS | Mnenja IP	Mnenje IP									Zdravstvo
obdelava OP varnostno preverjanje_(M)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP									
obdelava OP zaposlenih_(M)_Benkoviƒ Kraτovec.odt	IP RS | Mnenja IP	Mnenje IP	delovno razmerje								
obdelava OP zaposlitvenih agencij in delodajalcev.odt	IP RS | Mnenja IP	Mnenje IP									
obdelava OP ƒlanov druτtva.odt	IP RS | Mnenja IP	Mnenje IP			društvo						
obdelava osebnih podatkov iz CRP_(EM)_PetraLK,27.9.2018.odt	IP RS | Mnenja IP	Mnenje IP									
Obdelava osebnih podatkov v druτtvu-MNENJE-Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP			društvo						
obdelava podatkov iz dokazil.odt	IP RS | Mnenja IP	Mnenje IP									
obdelava podatkov v druτtvu in zvezi druτtev.odt	IP RS | Mnenja IP	Mnenje IP			društvo						
obdelava podatkov v gasilskem druτtvu.odt	IP RS | Mnenja IP	Mnenje IP			društvo						
obdelava privolitev skladnih z ZVOP-1.odt	IP RS | Mnenja IP	Mnenje IP	ZVOP-1						privolitev		
obdelava psihometriƒnih testov zaposlenih_Neja.odt	IP RS | Mnenja IP	Mnenje IP	delovno razmerje								
obdelava telefonskih τtevilk in neposredno trºenje_(EM)_Domnik.odt	IP RS | Mnenja IP	Mnenje IP								neposredno trženje	
obdelavaOPotrokvrtec_(M)_Siter.odt	IP RS | Mnenja IP	Mnenje IP	otroci								
objava e-mail korespondence na Facebooku_(EM)_Domnik.odt	IP RS | Mnenja IP	Mnenje IP	Facebook								
objava fotografij oskrbovancev po njihovi smrti_(M)_Brulc.odt	IP RS | Mnenja IP	Mnenje IP			fotografija						
objava fotografij otrok brez privolitve1_(M)_Neja.odt	IP RS | Mnenja IP	Mnenje IP	otroci		fotografija						
objava fotografij otrok brez privolitve_(M)_Neja.odt	IP RS | Mnenja IP	Mnenje IP	otroci		fotografija						
objava fotografij v medijih_(EM)_Ivanc.odt	IP RS | Mnenja IP	Mnenje IP			fotografija			mediji			
objava fotografij,vrtec_(EM)_¼rniƒ.odt	IP RS | Mnenja IP	Mnenje IP			fotografija						
objava fotografij.odt	IP RS | Mnenja IP	Mnenje IP			fotografija						
objava fotografije otroka na spletu_(M)_Benkoviƒ Kraτovec.odt	IP RS | Mnenja IP	Mnenje IP	otroci		fotografija						
objava fotografije zaposlenih v medijih_(EM)_Ivanc.odt	IP RS | Mnenja IP	Mnenje IP	delovno razmerje		fotografija			mediji			
objava fotografije_(EM)_Deljanin.odt	IP RS | Mnenja IP	Mnenje IP			fotografija						
objava imen uƒencev na oglasnih deskah τol_(EM)_Zrimτek.odt	IP RS | Mnenja IP	Mnenje IP		Šolstvo							
Objava imen znanih τportnikov v parku_(EM)_Domnik.odt	IP RS | Mnenja IP	Mnenje IP						šport			
Objava naslova nagrajenca_(EM)_Teliƒ.odt	IP RS | Mnenja IP	Mnenje IP									
objava oglasnih sporoƒil na spletni strani, do katere lahko stopajo samo doloƒeni uporabniki,4.6.2018.odt	IP RS | Mnenja IP	Mnenje IP									
objava OP zaposlenih na intranetu_(M)_Ivanc.odt	IP RS | Mnenja IP	Mnenje IP	delovno razmerje								
Objava osebnih podatkov brez privolitve_(M)_Tomτiƒ.odt	IP RS | Mnenja IP	Mnenje IP									
Objava osebnih podatkov na tuji spletni strani_(EM)_Bogataj.odt	IP RS | Mnenja IP	Mnenje IP									
objava podatkov o pooblaτƒeni osebi na spletu(EM)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP									
Objava podatkov v medijih_(EM)_Bogataj.odt	IP RS | Mnenja IP	Mnenje IP						mediji			
objava podatkov v promocijskem gradivu_(EM)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP									
Objava preferenƒnih glasov kandidatov na lokalnih volitvah_(M)_Kuτeviå.odt	IP RS | Mnenja IP	Mnenje IP									
Objava rezultatov τportnih tekmovanj na spletni strani_(M)_Drev.odt	IP RS | Mnenja IP	Mnenje IP						šport			
objava seznama zaposlenih v zborniku_(EM)_Ivanc.odt	IP RS | Mnenja IP	Mnenje IP	delovno razmerje								
objava uspehov τportnikov_(M)_Domnik.odt	IP RS | Mnenja IP	Mnenje IP						šport			
objava zapisnikov sej sveta starsev.odt	IP RS | Mnenja IP	Mnenje IP									
Objava zapisnikov sindikata in OP na intranetu_(M)_Bogataj_14.12.18.odt	IP RS | Mnenja IP	Mnenje IP						sindikat			
objavljeni podatki o ºe izbrisanem s.p._(M)_Leτnik Kromar.odt	IP RS | Mnenja IP	Mnenje IP							pravica do izbrisa		
obravnava problematike na svetu starτev.odt	IP RS | Mnenja IP	Mnenje IP									
Obveznost imenovanja pooblaτƒene osebe_(M)_Tomτiƒ.odt	IP RS | Mnenja IP	Mnenje IP									
obveznost sklenitve pogodbe o obdelavi_(M)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP									
obveznost sklenitve pogodbe o pogodbeni obdelavi s studentskimi servisi_(M)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP									
obveznost sklenitve pogodbe_IT_vzdrzevanje_garancijski rok_(EM)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP									
obveznosti po GDPR za samostojne podjetnike.odt	IP RS | Mnenja IP	Mnenje IP	GDPR								
obveznosti revizijskih druºb do posameznikov_(M)_Novak.odt	IP RS | Mnenja IP	Mnenje IP									
obveznosti tiskarne po GDPR.odt	IP RS | Mnenja IP	Mnenje IP	GDPR								
obveτƒanje na javno objavljene e-naslove.odt	IP RS | Mnenja IP	Mnenje IP									
Obveτƒanje o nagradni igri_(M)_Meτiå.odt	IP RS | Mnenja IP	Mnenje IP			nagradna igra						
obveτƒanje po e-poτti_(EM)_Novak.odt	IP RS | Mnenja IP	Mnenje IP									
obveτƒanje strank borznoposredniτke druºbe pri prevzemu poslovanja _(M)_Ivanc.odt	IP RS | Mnenja IP	Mnenje IP									
Obveτƒanje zdravstvenih delavcev_(M)_Teliƒ.odt	IP RS | Mnenja IP	Mnenje IP									Zdravstvo
ocena uƒinka v zvezi z varstvom OP_(M)_Novak.odt	IP RS | Mnenja IP	Mnenje IP									
odgovor glede GDPR.odt	IP RS | Mnenja IP	Mnenje IP	GDPR								
odloƒba za τtipendijo s podatki o premoºenju in dohodkih_(EM)_Domnik.odt	IP RS | Mnenja IP	Mnenje IP									
Odloƒbe na spletni strani IP_(EM)_Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP									
Odvetniτka druºba Panteliƒ_Projekt RAPiD.Si_Jasmina.odt	IP RS | Mnenja IP	Mnenje IP	odvetnik								
ognjevarna omara in uniƒenje podatkov_Neja.odt	IP RS | Mnenja IP	Mnenje IP									
omejitev dostopa do sluºbene e-poτte.odt	IP RS | Mnenja IP	Mnenje IP			omejitev obdelave					dostopne pravice	
OP delavcev_privolitev.odt	IP RS | Mnenja IP	Mnenje IP							privolitev		
OP in izdaja zbornika_(EM)_Deljanin.odt	IP RS | Mnenja IP	Mnenje IP									
OP in izdaja zbornika_(EM)_Kuτeviå.odt	IP RS | Mnenja IP	Mnenje IP									
OP javnih usluºbencev_(M)_Kuτeviå.odt	IP RS | Mnenja IP	Mnenje IP									
OP mladoletne osebe_storitev eAsistent Plus_(M)_Damjan.odt	IP RS | Mnenja IP	Mnenje IP									
OP na obrazcu za zbiranje podpore kandidaturi na lokalnih volitvah_(M)_Kuτeviå.odt	IP RS | Mnenja IP	Mnenje IP			DPO			turizem			
OP na odloƒbi CSD po GDPR_(M)_Boºiƒ Testen.odt	IP RS | Mnenja IP	Mnenje IP	GDPR								
OP na vlogi za izdajo odloƒbe za plaƒilo komunalnega prispevka_Vanja.odt	IP RS | Mnenja IP	Mnenje IP	plače								
OP obdolºenega na ustni obravnavi_(M)_Medved.odt	IP RS | Mnenja IP	Mnenje IP									
OP po prenehanju DR_EM_¼rniƒ.odt	IP RS | Mnenja IP	Mnenje IP									
OP prijavljenih kandidatov za direktorja javnega zavoda_(M)_Zrimτek.odt	IP RS | Mnenja IP	Mnenje IP	javni zavod								
osebna izkaznica_(EM)_ªaucer.odt	IP RS | Mnenja IP	Mnenje IP									
Osebna ocena uspeτnosti zaposlenega-MNENJE-Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP	delovno razmerje								
osebni podatki etaºnih lastnikov.odt	IP RS | Mnenja IP	Mnenje IP									
osebni podatki in pravne osebe_Neja.odt	IP RS | Mnenja IP	Mnenje IP									
osebni podatki inτtruirancev.odt	IP RS | Mnenja IP	Mnenje IP									
osebni podatki ki jih zbira varnostnik ob vstopu v stavbo_(M)_Domnik.odt	IP RS | Mnenja IP	Mnenje IP									
osebni podatki skrbnika pri urejanju banƒnih poslov za varovanca_(M)_Leitinger Okrτlar.odt	IP RS | Mnenja IP	Mnenje IP									
Osebno geslo za dostop do raƒunalnika_(EM)_Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP								dostopne pravice	
plaƒilne liste.odt	IP RS | Mnenja IP	Mnenje IP	plače								
plaƒilne liste0.odt	IP RS | Mnenja IP	Mnenje IP	plače								
podatek o delodajalcu_(M)_Leitinger Okrτlar.odt	IP RS | Mnenja IP	Mnenje IP									
podatek o novemu lastniku psov_(EM)_Domnik.odt	IP RS | Mnenja IP	Mnenje IP									
podatki na ovojnici_(EM)_Ivanc.odt	IP RS | Mnenja IP	Mnenje IP									
Podatki o upravitelju spletne strani_(M)_Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP									
podatki o viτini od v mnenju CSD za sodiτƒe_(M)_Boºiƒ Testen.odt	IP RS | Mnenja IP	Mnenje IP			sodstvo						
Podatki samostojnega podjetnika s.p._(EM)_Domnik.odt	IP RS | Mnenja IP	Mnenje IP									
podatki starejτih iz CRP.odt	IP RS | Mnenja IP	Mnenje IP									
podatki za dodatni dan letnega dopusta.odt	IP RS | Mnenja IP	Mnenje IP									
podlaga za neposredno trºenje po e-poτti - mnenje MLO.odt	IP RS | Mnenja IP	Mnenje IP						pravni temelj		neposredno trženje	
podlaga za posredovanje podatkov GDPR_Nuτa.odt	IP RS | Mnenja IP	Mnenje IP	GDPR		PosredovanjeOP			pravni temelj			
podlaga_GDPR_Nuτa.odt	IP RS | Mnenja IP	Mnenje IP	GDPR					pravni temelj			
podlage za obdelavo osebnih podatkov v nogometnem klubu.odt	IP RS | Mnenja IP	Mnenje IP			klub zvestobe			pravni temelj			
podlage za obdelavo osebnih podatkov ƒlanov OZS-Katja_10.7.18.odt	IP RS | Mnenja IP	Mnenje IP						pravni temelj			
podpis izjave_pogodbena obdelava.odt	IP RS | Mnenja IP	Mnenje IP			pogodbena obdelava						
podpis pogodbe glede posredovanja OP na zakonski podlagi_(M)_Zrimτek.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP			pravni temelj			
Podpisane risbe v vrtcu_(EM)_Domnik.odt	IP RS | Mnenja IP	Mnenje IP									
podpisn vizitka v elektronski poτti_Jasmina.odt	IP RS | Mnenja IP	Mnenje IP			elektronska pošta						
Pogodba o obdelavi osebnih podatkov_(M)_Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP									
pogodbena obdelava - prevajalska agencija(EM)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP			pogodbena obdelava						
Pogodbena obdelava in privolitev po GDPR-MNENJE-Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP	GDPR		pogodbena obdelava				privolitev		
Pogodbena obdelava in uporaba standardnih pogodbenih klavzul za iznos_29.8.18_(EM)_Bogataj.odt	IP RS | Mnenja IP	Mnenje IP			pogodbena obdelava					prenos podatkov 	
pogodbena obdelava pri odvetniτkih storitvah.odt	IP RS | Mnenja IP	Mnenje IP	odvetnik		pogodbena obdelava						
pogodbena obdelava pri odvetniτkih storitvah_(M)_Novak.odt	IP RS | Mnenja IP	Mnenje IP	odvetnik		pogodbena obdelava						
Pogodbena obdelava-MNENJE-Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP			pogodbena obdelava						
Pogodbena obdelava_(EM)_Mohar.odt	IP RS | Mnenja IP	Mnenje IP			pogodbena obdelava						
pogodbena obdelava_(M)_Novak.odt	IP RS | Mnenja IP	Mnenje IP			pogodbena obdelava						
pogodbena obdelava_(M)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP			pogodbena obdelava						
pogodbeni obdelovalec delodajalca.odt	IP RS | Mnenja IP	Mnenje IP						obdelovalec			
Pogojevanje z piτkotki_(M)_Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP									Piškotki
Pogojevanje ƒlanstva v druτtvu z objavo osebnih podatkov na Facebooku_(M)_Domnik.odt	IP RS | Mnenja IP	Mnenje IP	Facebook		društvo						
Pogoji privolitve po Uredbi_(EM)_Novak.odt	IP RS | Mnenja IP	Mnenje IP									
pogoji za uporabo piτkotkov Google Analytics_(M)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP						google			Piškotki
pojasnilo glede zahteve za prenehanje poτiljanja e-poτte.odt	IP RS | Mnenja IP	Mnenje IP									
pojasnilo_povezovanje zbirk OP vs. pridobivanje OP_21.8.18_(EM)_Bogataj.odt	IP RS | Mnenja IP	Mnenje IP									
pooblastilo staτev za prisostvovanje na sestanku (M)_LeitingerOkrτlar.odt	IP RS | Mnenja IP	Mnenje IP									
Pooblaτƒena oseba za varstvo podatkov za dobavitelja medicinskih pripomoƒkov_Neja.odt	IP RS | Mnenja IP	Mnenje IP									
Pooblaτƒena oseba za varstvo podatkov_Neja.odt	IP RS | Mnenja IP	Mnenje IP									
pooblaτƒena oseba.odt	IP RS | Mnenja IP	Mnenje IP									
posebni podatki in uporaba oblaƒnih storitev_Jasmina.odt	IP RS | Mnenja IP	Mnenje IP									
posebni podatki_razkrivanje v vrtcu_Jasmina.odt	IP RS | Mnenja IP	Mnenje IP									
poslovna komunikacija s posamezniki.odt	IP RS | Mnenja IP	Mnenje IP									
Posredovanja digitalnega potrdila z pripadajoƒim geslom IT oddelku_(M)_Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje inτpekcijskega zapisnika svetu zavoda.odt	IP RS | Mnenja IP	Mnenje IP	javni zavod		PosredovanjeOP						
posredovanje kazenske ovadbe ali poroƒila SDT Policiji_(M)_Katja_7.12.18.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP			policija	kazenski postopki		
posredovanje kopije banƒne kartice.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP			kopiranje			
posredovanje odloƒb o upraviƒenosti do javnih sredstev_(M)_Brulc.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje odpustnic svojcem_(M)_Brulc.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						Zdravstvo
posredovanje odpustnice NIJZ_mnenje_Brulc.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						Zdravstvo
posredovanje OP detektivu_(M)_Ivanc.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje OP dijakov zaradi strokovne ekskurzije _(EM)_Deljanin.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje OP etaºnim lastnikom_(EM)_Benkoviƒ Kraτovec.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje OP iz CRP odvetnikomin steƒajnim upraviteljem_(M)_Medved.odt	IP RS | Mnenja IP	Mnenje IP	odvetnik		PosredovanjeOP			stečaj			
posredovanje OP iz kazenske evidence_(M)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP				kazenski postopki		evidence
posredovanje OP med posamiƒnimi organi javnega zavoda_(M)_Zrimτek.odt	IP RS | Mnenja IP	Mnenje IP	javni zavod		PosredovanjeOP						
posredovanje op NIJZ_(EM)_Leτnik Kromar.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje OP otrok krajevni skupnosti.odt	IP RS | Mnenja IP	Mnenje IP	otroci		PosredovanjeOP						
posredovanje OP policiji in toºilstvu_(M)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP			policija			
posredovanje OP SOVA_(M)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje OP uƒencev_(M)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
Posredovanje OP zaposlenih med zdravstvenimi enotami-MNENJE-Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP	delovno razmerje		PosredovanjeOP						Zdravstvo
Posredovanje OP zunanjemu izvajalcu-MNENJE-Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje OP ƒlanom nadzornega odbora.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje OP_(EM)_Ivanc.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje osebnih podatkov preºivninskih upraviƒencev steƒajnim upraviteljem_(M)_Medved.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP			stečaj			
posredovanje osebnih podatkov uƒencev za PZV_(M)_Brulc.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
Posredovanje podatka o precepljenosti otroka vrtcu_(M)_Domnik.odt	IP RS | Mnenja IP	Mnenje IP	otroci		PosredovanjeOP						
posredovanje podatka o τolanju starτem_(EM)_Boºiƒ Testen.odt	IP RS | Mnenja IP	Mnenje IP		Šolstvo	PosredovanjeOP						
posredovanje podatkov delniƒarjev za vodenje evidence_22.6.2018.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						evidence
posredovanje podatkov delniƒarjev_(M)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje podatkov etaºnim lastnikom za izraƒun stroτkov.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje podatkov iz baze _(M)_Ivanc.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje podatkov iz CRP javnemu podjetju_(M)_Ivanc.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje podatkov o dolgu upravnika stanovalcem_(M)_Benkoviƒ Kraτovec.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje podatkov o najemnikih_(EM)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje podatkov polnoletnega otroka starτu_(EM)_Testen.odt	IP RS | Mnenja IP	Mnenje IP	otroci		PosredovanjeOP						
posredovanje podatkov prijavitelja.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje podatkov svetu τole_(M)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP		Šolstvo	PosredovanjeOP						
posredovanje podatkov UE_(M)_Testen.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
Posredovanje prijave-MNENJE-Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje seznama otrok zdravstevnemu domu_(M)_Brulc.odt	IP RS | Mnenja IP	Mnenje IP	otroci		PosredovanjeOP						Zdravstvo
Posredovanje zdravniτke dokumentacije preko e-maila-MNENJE-Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						Zdravstvo
posredovanje zdravstvenih podatkov inτpektoratu_(M)_Brulc.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						Zdravstvo
postopek zoper X d.o.o. _pojasnilo IP_Joºe_9.7.18.odt	IP RS | Mnenja IP	Mnenje IP									
poτiljanje e-sporoƒil v okviru neonatalnega presejanja_mnenje_Brulc.odt	IP RS | Mnenja IP	Mnenje IP									
poτiljanje elektronske poτte na sluºbene maile_(M)_Domnik.odt	IP RS | Mnenja IP	Mnenje IP			elektronska pošta						
Poτiljanje napotnice po elektronski poτti -MNENJE-Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP			elektronska pošta						
Poτiljanje novic na javno dostopne e-naslove _Jasmina.odt	IP RS | Mnenja IP	Mnenje IP								dostopne pravice	
poτiljanje obvestil.odt	IP RS | Mnenja IP	Mnenje IP									
poτiljanje odloƒbe CSD po navadni poτti_(EM)_Boºiƒ Testen.odt	IP RS | Mnenja IP	Mnenje IP									
poτiljanje opominov po poτti v odprti kuverti_(EM)_Domnik.odt	IP RS | Mnenja IP	Mnenje IP							opomin		
Poτiljanje osebnih podatkov med transfuzijskimi ustanovami-MNENJE-Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP									
poτiljanje poloºnic po e-poτti_(EM)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP									
poτiljanje raƒunov in vlaganje v kuverte_Jasmina.odt	IP RS | Mnenja IP	Mnenje IP									
poτiljanje raƒunov za zdravstvene storitve raƒunovodskemu servisu_mnenje_Brulc.odt	IP RS | Mnenja IP	Mnenje IP									Zdravstvo
poτiljanje rd voτƒil zaposlenim_(EM)_Ivanc.odt	IP RS | Mnenja IP	Mnenje IP	delovno razmerje								
poτiljanje SMS pacientom_mnenje_Brulc.odt	IP RS | Mnenja IP	Mnenje IP		Zdravstvo							
poτiljanje vabil za decembersko obdarovanje.odt	IP RS | Mnenja IP	Mnenje IP									
poτiljanje vabil_(M)_Ivanc.odt	IP RS | Mnenja IP	Mnenje IP									
poτta in OP, napotitev,2.8.2018.odt	IP RS | Mnenja IP	Mnenje IP	pošta								
poτta in OP, napotitev,27.11.2018.odt	IP RS | Mnenja IP	Mnenje IP	pošta								
poτta in OP, napotitev,5.10.2018_(EM)_Leτnik Kromar.odt	IP RS | Mnenja IP	Mnenje IP	pošta								
pravica do izbrisa OP_(M)_Domnik.odt	IP RS | Mnenja IP	Mnenje IP							pravica do izbrisa		
Pravica do izbrisa OP_(M)_Meτiå.odt	IP RS | Mnenja IP	Mnenje IP							pravica do izbrisa		
pravica do izbrisa OP_Neja.odt	IP RS | Mnenja IP	Mnenje IP							pravica do izbrisa		
pravica do izbrisa_(M)_Domnik.odt	IP RS | Mnenja IP	Mnenje IP							pravica do izbrisa		
pravica do pozabe.odt	IP RS | Mnenja IP	Mnenje IP			pravica do pozabe						
pravice posameznikov po GDPR_seznanitev_(M)_Domnik.odt	IP RS | Mnenja IP	Mnenje IP	GDPR		dostop do podatkov						
pravna podlaga za razkritje informacij o diplomi_(EM)_Pleterski.odt	IP RS | Mnenja IP	Mnenje IP						pravni temelj			
Pravna podlaga, τolstvo, otroci s posebnimi potrebami_(M)_Teliƒ.odt	IP RS | Mnenja IP	Mnenje IP		Šolstvo				pravni temelj			
pravna sredstva po GDPR_0712-3 2018 828.odt	IP RS | Mnenja IP	Mnenje IP	GDPR								
Pravne podlage, pravica do izbrisa -MNENJE-Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP						pravni temelj	pravica do izbrisa		
pravne podlage_trºenje.odt	IP RS | Mnenja IP	Mnenje IP						pravni temelj		neposredno trženje	
predaja podatkov novemu upravniku.odt	IP RS | Mnenja IP	Mnenje IP									
predloºitev izpiskov TRR ob pridobivanju kredita_(EM)_LeitingerOkrτlar.odt	IP RS | Mnenja IP	Mnenje IP						banka			
predstavitev na valeti, svet starτev_(M)_Ivanc.odt	IP RS | Mnenja IP	Mnenje IP									
pregledovanje zbirk v organizacijski enoti_(M)_Novak.odt	IP RS | Mnenja IP	Mnenje IP									
prekrτkovni postopek_cestninski_nadzor_(EM)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP									
prenos podatkov v Avstralijo_Neja.odt	IP RS | Mnenja IP	Mnenje IP			prenos podatkov						
preventivni zdr. pregledi in pogodbena obdelava - mnenje MLO.odt	IP RS | Mnenja IP	Mnenje IP			pogodbena obdelava						
preºivnina otroka in podatek o zaposlitvi_Neja.odt	IP RS | Mnenja IP	Mnenje IP	otroci								
pridobitev e-poτte obƒinskih svetnikov_(EM)_Brulc.odt	IP RS | Mnenja IP	Mnenje IP									
Pridobitev informacij o osebnih podatkih v uradnih evidencah_(EM)_Mohar.odt	IP RS | Mnenja IP	Mnenje IP									evidence
pridobitev podatkov predτolskhi otrok iz CRP_(M)_Wondra.odt	IP RS | Mnenja IP	Mnenje IP	otroci	Šolstvo							
pridobitev posnetkov telefonskih pogovorov za dokazovanje v sodnih postopkih.odt	IP RS | Mnenja IP	Mnenje IP									
Pridobivanje baz OP_(M)_Teliƒ.odt	IP RS | Mnenja IP	Mnenje IP									
pridobivanje informacij o otroku s strani tretje osebe_(EM)_Novak.odt	IP RS | Mnenja IP	Mnenje IP	otroci								
pridobivanje OP od obƒin_(M)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP									
pridobivanje OP osebe pod skrbniτtvom od UE_(M)_Testen.odt	IP RS | Mnenja IP	Mnenje IP									
pridobivanje OP s strani komunalnih podjetij_(M)_Katja_19.11.18.odt	IP RS | Mnenja IP	Mnenje IP									
pridobivanje OP s strani upravnika_(EM)_Deljanin.odt	IP RS | Mnenja IP	Mnenje IP									
pridobivanje OP za hrvaτkega upnika_(EM)_Katja_27.12.18.odt	IP RS | Mnenja IP	Mnenje IP									
pridobivanje podatkov CSD_(EM)_Boºiƒ Testen.odt	IP RS | Mnenja IP	Mnenje IP									
pridobivanje podatkov iz kazenske evidence_(M)_Brulc.odt	IP RS | Mnenja IP	Mnenje IP							kazenski postopki		evidence
pridobivanje podatkov ZRSZ s CSD_(EM)_Boºiƒ Testen.odt	IP RS | Mnenja IP	Mnenje IP									
prijava druτtva na obƒinski razpis_(M)_Novak.odt	IP RS | Mnenja IP	Mnenje IP			društvo						
Prijava Facebook strani_(EM)_Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP	Facebook								
Prijava krτitev -MNENJE-Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP									
Prijava krτitev.odt	IP RS | Mnenja IP	Mnenje IP									
prijava krτitve_(M)_Meτiå.odt	IP RS | Mnenja IP	Mnenje IP									
prikaz stanja na bankomatu_(M)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP			banka						
Priporoƒila Informacijskega pooblaτƒenca glede delovanja pooblaτƒene osebe za varstvo osebnih podatkov v angleτkem.odt	IP RS | Mnenja IP	Mnenje IP									
Priporoƒila IP glede delovanja pooblaτƒene osebe v angleτƒini_(EM)_Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP									
pristojnost inτpketorjev_Neja.odt	IP RS | Mnenja IP	Mnenje IP						pristojnost IP			
Privolitev -MNENJE-Brodgesell.odt	IP RS | Mnenja IP	Mnenje IP							privolitev		
privolitev delavca za obdelavo osebnih podatkov.odt	IP RS | Mnenja IP	Mnenje IP							privolitev		
privolitev Klik NLB - nabor podatkov - mnenje MLO.odt	IP RS | Mnenja IP	Mnenje IP							privolitev		
privolitev po GDPR_Neja.odt	IP RS | Mnenja IP	Mnenje IP	GDPR						privolitev		
privolitev v vrtcu v zvezi z zobozdravstveno vzgojo_mnenje_Brulc.odt	IP RS | Mnenja IP	Mnenje IP							privolitev		Zdravstvo
privolitev, druτtvo.odt	IP RS | Mnenja IP	Mnenje IP			društvo				privolitev		
problematika osebnega imena v uradnih evidencah_(EM)_Brulc.odt	IP RS | Mnenja IP	Mnenje IP									evidence
